video,label,frames_sampled,frames_scored,mean_score,median_score,verdict_counts
test/real_video/32.mp4,real,20,20,0.6922,0.7324,"{""spoof"": 14, ""real"": 6}"
test/real_video/33.mp4,real,20,19,0.9983,0.9989,"{""real"": 19, ""no_face"": 1}"
test/real_video/34.mp4,real,20,20,0.7585,0.7558,"{""spoof"": 14, ""real"": 6}"
test/real_video/35.mp4,real,20,20,0.9977,0.9998,"{""real"": 20}"
test/real_video/36.mp4,real,20,20,0.5211,0.5054,"{""spoof"": 18, ""real"": 2}"
test/real_video/37.mp4,real,20,20,0.9475,0.9869,"{""real"": 17, ""spoof"": 3}"
test/real_video/38.mp4,real,20,20,0.9959,0.9982,"{""real"": 20}"
test/real_video/39.mp4,real,20,20,0.9315,0.9764,"{""real"": 17, ""spoof"": 3}"
test/real_video/4.mp4,real,20,20,0.8776,0.9034,"{""spoof"": 8, ""real"": 12}"
test/real_video/40.mp4,real,20,20,0.9998,0.9999,"{""real"": 20}"
test/real_video/41.mp4,real,20,20,0.9958,0.9988,"{""real"": 20}"
test/real_video/42.mp4,real,20,20,0.9999,1.0,"{""real"": 20}"
test/real_video/43.mp4,real,20,20,0.7621,0.7628,"{""spoof"": 14, ""real"": 6}"
test/real_video/44.mp4,real,20,20,0.9745,0.9887,"{""real"": 20}"
test/real_video/45.mp4,real,20,20,0.9729,0.9907,"{""real"": 19, ""spoof"": 1}"
test/real_video/46.mp4,real,19,19,0.9738,0.9952,"{""real"": 19}"
test/real_video/47.mp4,real,20,20,0.992,0.9984,"{""real"": 20}"
test/real_video/48.mp4,real,20,20,0.9998,0.9999,"{""real"": 20}"
test/real_video/49.mp4,real,20,20,0.9939,0.9979,"{""real"": 20}"
test/real_video/5.mp4,real,20,19,0.9933,0.9979,"{""real"": 19, ""no_face"": 1}"
test/real_video/50.mp4,real,20,20,0.8745,0.9276,"{""spoof"": 6, ""real"": 14}"
test/real_video/51.mp4,real,20,20,0.8452,0.9242,"{""real"": 12, ""spoof"": 8}"
test/real_video/52.mp4,real,20,20,0.9999,1.0,"{""real"": 20}"
test/real_video/53.mp4,real,20,20,0.9449,0.9899,"{""real"": 18, ""spoof"": 2}"
test/real_video/54.mp4,real,20,20,0.9928,0.9981,"{""real"": 20}"
test/real_video/6.mp4,real,20,19,0.9853,0.993,"{""real"": 19, ""no_face"": 1}"
test/real_video/7.mp4,real,19,19,0.9985,0.9998,"{""real"": 19}"
test/real_video/8.mp4,real,20,20,0.9658,0.991,"{""real"": 19, ""spoof"": 1}"
test/real_video/9.mp4,real,20,20,0.9998,0.9998,"{""real"": 20}"
test/attack/0.mp4,attack,20,20,0.0255,0.003,"{""spoof"": 20}"
test/attack/1.mp4,attack,20,19,0.5234,0.5386,"{""spoof"": 14, ""real"": 5, ""no_face"": 1}"
test/attack/10.mp4,attack,20,20,0.0298,0.0005,"{""spoof"": 20}"
test/attack/11.mp4,attack,20,20,0.6076,0.6455,"{""spoof"": 12, ""real"": 8}"
test/attack/12.mp4,attack,20,19,0.0016,0.0,"{""spoof"": 19, ""no_face"": 1}"
test/attack/13.mp4,attack,20,20,0.0607,0.0201,"{""spoof"": 20}"
test/attack/14.mp4,attack,20,20,0.0139,0.0027,"{""spoof"": 20}"
test/attack/15.mp4,attack,19,19,0.0771,0.013,"{""spoof"": 19}"
test/attack/16.mp4,attack,20,20,0.3132,0.1263,"{""spoof"": 19, ""real"": 1}"
test/attack/17.mp4,attack,20,20,0.6317,0.6394,"{""spoof"": 11, ""real"": 9}"
test/attack/18.mp4,attack,20,20,0.2396,0.1102,"{""spoof"": 19, ""real"": 1}"
test/attack/19.mp4,attack,20,20,0.434,0.419,"{""spoof"": 13, ""real"": 7}"
test/attack/2.mp4,attack,20,20,0.1351,0.0527,"{""spoof"": 20}"
test/attack/20.mp4,attack,20,20,0.321,0.1749,"{""spoof"": 18, ""real"": 2}"
test/attack/21.mp4,attack,20,20,0.0001,0.0,"{""spoof"": 20}"
test/attack/22.mp4,attack,20,20,0.2715,0.1395,"{""spoof"": 18, ""real"": 2}"
test/attack/23.mp4,attack,19,19,0.1274,0.0378,"{""spoof"": 19}"
test/attack/24.mp4,attack,20,20,0.0,0.0,"{""spoof"": 20}"
test/attack/25.mp4,attack,20,20,0.4909,0.4875,"{""spoof"": 12, ""real"": 8}"
test/attack/26.mp4,attack,19,19,0.2094,0.0012,"{""spoof"": 18, ""real"": 1}"
test/attack/27.mp4,attack,20,20,0.5678,0.8546,"{""spoof"": 10, ""real"": 10}"
test/attack/28.mp4,attack,19,19,0.5071,0.6435,"{""spoof"": 15, ""real"": 4}"
test/attack/29.mp4,attack,20,20,0.0009,0.0,"{""spoof"": 20}"
test/attack/3.mp4,attack,20,20,0.6476,0.8694,"{""spoof"": 10, ""real"": 10}"
test/attack/30.mp4,attack,20,20,0.227,0.0471,"{""spoof"": 19, ""real"": 1}"
test/attack/31.mp4,attack,20,20,0.0138,0.0003,"{""spoof"": 20}"
test/attack/32.mp4,attack,20,20,0.0166,0.0022,"{""spoof"": 20}"
test/attack/33.mp4,attack,20,19,0.1059,0.0353,"{""spoof"": 19, ""no_face"": 1}"
test/attack/34.mp4,attack,20,20,0.0139,0.0003,"{""spoof"": 20}"
test/attack/35.mp4,attack,20,20,0.0744,0.0014,"{""spoof"": 20}"
test/attack/36.mp4,attack,20,20,0.0526,0.0027,"{""spoof"": 20}"
test/attack/37.mp4,attack,20,20,0.0073,0.0003,"{""spoof"": 20}"
test/attack/38.mp4,attack,20,14,0.2312,0.1027,"{""too_small"": 6, ""spoof"": 13, ""real"": 1}"
test/attack/39.mp4,attack,19,14,0.2089,0.0114,"{""no_face"": 5, ""spoof"": 14}"
test/attack/4.mp4,attack,20,19,0.0139,0.0037,"{""no_face"": 1, ""spoof"": 19}"
test/attack/40.mp4,attack,20,20,0.7467,0.8191,"{""spoof"": 11, ""real"": 9}"
test/attack/41.mp4,attack,20,12,0.4935,0.4912,"{""spoof"": 8, ""too_small"": 8, ""real"": 4}"
test/attack/42.mp4,attack,20,20,0.2635,0.0407,"{""spoof"": 17, ""real"": 3}"
test/attack/43.mp4,attack,20,20,0.0005,0.0,"{""spoof"": 20}"
test/attack/44.mp4,attack,20,17,0.5027,0.5566,"{""too_small"": 3, ""spoof"": 13, ""real"": 4}"
test/attack/45.mp4,attack,19,19,0.0415,0.0005,"{""spoof"": 19}"
test/attack/46.mp4,attack,20,19,0.004,0.0,"{""spoof"": 19, ""no_face"": 1}"
test/attack/47.mp4,attack,20,20,0.3128,0.1799,"{""spoof"": 19, ""real"": 1}"
test/attack/48.mp4,attack,20,20,0.1374,0.0159,"{""spoof"": 20}"
test/attack/49.mp4,attack,20,18,0.1128,0.0023,"{""too_small"": 2, ""spoof"": 18}"
test/attack/5.mp4,attack,20,17,0.001,0.0,"{""spoof"": 17, ""no_face"": 3}"
test/attack/50.mp4,attack,20,20,0.1384,0.037,"{""spoof"": 20}"
test/attack/51.mp4,attack,20,20,0.1375,0.0128,"{""spoof"": 20}"
test/attack/52.mp4,attack,20,20,0.6144,0.759,"{""spoof"": 13, ""real"": 7}"
test/attack/53.mp4,attack,20,20,0.0513,0.0065,"{""spoof"": 20}"
test/attack/54.mp4,attack,20,20,0.0354,0.0006,"{""spoof"": 20}"
test/attack/6.mp4,attack,20,19,0.014,0.0,"{""spoof"": 19, ""no_face"": 1}"
test/attack/7.mp4,attack,20,20,0.0343,0.0016,"{""spoof"": 20}"
test/attack/8.mp4,attack,20,20,0.0276,0.0008,"{""spoof"": 20}"
test/attack/9.mp4,attack,20,20,0.5747,0.9808,"{""spoof"": 9, ""real"": 11}"
